transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,humidity,1.1672056253292031,0.9665817045248472,0.8705032437747875
zero_shot,lab2_active_3,"Lab2 active set [2, 5, 10]",10,temperature,0.37810678880779885,0.28654776169703555,0.9113395566727139
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,humidity,1.4191467006916194,1.0895998615484972,0.842495608877133
zero_shot,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,temperature,0.4112335366898077,0.32155706446904403,0.8929193241186548
zero_shot,lab2_all13,Lab2 all 13 active,0,humidity,1.2309451109841516,0.9893235266208649,0.8709928774477107
zero_shot,lab2_all13,Lab2 all 13 active,0,temperature,0.3880749998145093,0.29890899704052853,0.9028709050923999
full_finetune,lab2_active_3,"Lab2 active set [2, 5, 10]",10,humidity,0.6749362358244345,0.44132018089294434,0.9633473529706247
full_finetune,lab2_active_3,"Lab2 active set [2, 5, 10]",10,temperature,0.17998401853603077,0.12232926717171302,0.9817846566512749
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,humidity,0.5976791253159196,0.38979272773632634,0.9692293234459063
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,temperature,0.17776675411090062,0.11242767079518391,0.9816482206527688
full_finetune,lab2_all13,Lab2 all 13 active,0,humidity,0.5745966245992554,0.3564306050539017,0.972121297486675
full_finetune,lab2_all13,Lab2 all 13 active,0,temperature,0.15867128091111932,0.1038197261782793,0.9853725259721663
