protocol_name,display_name,active_sensors,active_count,masked_total,rank_within_k,source_score,source_r2_temperature,source_r2_humidity
lab2_all13,Lab2 all 13 active,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",13,0,,,,
lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]","[2, 4, 5, 6, 9]",5,8,1.0,0.9205448074920836,0.9417048806006524,0.8993847343835151
lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",5,8,2.0,0.9136143319883454,0.936178614195629,0.8910500497810617
lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]","[6, 7, 8, 10, 12]",5,8,3.0,0.910945184254558,0.9406292495814974,0.8812611189276185
lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]","[4, 6, 8, 10, 12]",5,8,4.0,0.910873516277186,0.9373549071345408,0.884392125419831
lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]","[1, 6, 7, 8, 9]",5,8,5.0,0.9105067177646492,0.9345687587779052,0.8864446767513936
lab2_active_4_6_7,"Lab2 active set [4, 6, 7]","[4, 6, 7]",3,10,1.0,0.9193659879191334,0.9409863300645436,0.8977456457737232
lab2_active_4_6_9,"Lab2 active set [4, 6, 9]","[4, 6, 9]",3,10,2.0,0.9160775305379836,0.9351454362444788,0.897009624831488
lab2_active_2_4_7,"Lab2 active set [2, 4, 7]","[2, 4, 7]",3,10,3.0,0.915910571939737,0.9395907101033968,0.8922304337760772
lab2_active_5_6_9,"Lab2 active set [5, 6, 9]","[5, 6, 9]",3,10,4.0,0.9155817795908644,0.9385801849540224,0.8925833742277067
lab2_active_6_9_10,"Lab2 active set [6, 9, 10]","[6, 9, 10]",3,10,5.0,0.9153763524446158,0.93494266548191,0.8958100394073215
lab2_active_5_9,"Lab2 active set [5, 9]","[5, 9]",2,11,1.0,0.9054522205009132,0.93457771070302,0.8763267302988064
lab2_active_2_7,"Lab2 active set [2, 7]","[2, 7]",2,11,2.0,0.904532155380252,0.931917829500442,0.8771464812600616
lab2_active_8_10,"Lab2 active set [8, 10]","[8, 10]",2,11,3.0,0.9026187387670984,0.9333923944250012,0.8718450831091956
lab2_active_5_7,"Lab2 active set [5, 7]","[5, 7]",2,11,4.0,0.9013953453485144,0.9330976070759144,0.8696930836211141
lab2_active_10_12,"Lab2 active set [10, 12]","[10, 12]",2,11,5.0,0.8999330980609063,0.9357172381864598,0.8641489579353527
