step,removed_sensor,active_count,active_sensors,score,meets_thresholds,r2_temperature,r2_humidity
1,9,12,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13]",0.9580200778326357,True,0.9412475602405714,0.9747925954246999
2,7,11,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13]",0.95863400910749,True,0.9419940967567269,0.9752739214582531
3,1,10,"[2, 3, 4, 5, 6, 8, 10, 11, 12, 13]",0.9595942651610572,True,0.9441904224174158,0.9749981079046987
4,13,9,"[2, 3, 4, 5, 6, 8, 10, 11, 12]",0.9578654950560941,True,0.9427129793862221,0.973018010725966
5,12,8,"[2, 3, 4, 5, 6, 8, 10, 11]",0.9563271549428274,True,0.9405134404741629,0.9721408694114919
6,4,7,"[2, 3, 5, 6, 8, 10, 11]",0.9553696064063122,True,0.9391341490609508,0.9716050637516737
7,6,6,"[2, 3, 5, 8, 10, 11]",0.9536576742750755,True,0.9396534904333083,0.9676618581168428
8,10,5,"[2, 3, 5, 8, 11]",0.9506284848070419,True,0.9350279955309818,0.9662289740831019
9,3,4,"[2, 5, 8, 11]",0.9465680945223048,True,0.9297914251981347,0.9633447638464749
10,11,3,"[2, 5, 8]",0.944459165724561,True,0.9270716968256859,0.9618466346234361
11,2,2,"[5, 8]",0.9334445485881748,True,0.9156594983229078,0.9512295988534417
12,8,1,[5],0.8390540575299683,True,0.8139559441368895,0.8641521709230471
